,handle,solvedCount,class,tier,ratingByProblemsSum,university
0,bnb2011,4093,9,26,2263,DGIST
1,ekwoo,2009,6,24,2122,DGIST
2,haruki291sa,1765,8,23,2047,DGIST
3,sslktong,1625,7,22,1975,DGIST
4,99asdfg,1744,6,22,1935,DGIST
5,aig0016,2182,6,21,1824,DGIST
6,20210805,2229,6,21,1814,DGIST
7,jerry3972,736,6,19,1649,DGIST
8,kmheaster,168,7,19,1688,DGIST
9,cocjr0208,853,5,19,1607,DGIST
10,ls123kr,628,5,18,1592,DGIST
11,bluesther,434,4,17,1539,DGIST
12,dn1016,528,5,17,1395,DGIST
13,hswek,398,5,17,1380,DGIST
14,ye122434,398,5,16,1361,DGIST
15,might_2,357,4,16,1413,DGIST
16,junho040812,212,6,16,1382,DGIST
17,sp301415,385,4,16,1383,DGIST
18,wjddnjsrbs97,270,5,16,1290,DGIST
19,cloudest,229,5,16,1299,DGIST
20,ghwns9652,508,4,16,1306,DGIST
21,alsyd024,286,2,15,1399,DGIST
22,albireo3754,334,4,15,1300,DGIST
23,jaehyeon3357,191,5,15,1278,DGIST
24,lambda,845,3,15,1255,DGIST
25,wonjin92,312,5,15,1187,DGIST
26,alsrnwlgp,183,4,15,1214,DGIST
27,koreasunoo,514,4,15,1129,DGIST
28,kk0640,288,3,15,1180,DGIST
29,rkckskdk,401,3,14,1111,DGIST
30,99sphere,309,3,14,1108,DGIST
31,kevin0459,239,3,14,1116,DGIST
32,tlfgql,189,3,14,1095,DGIST
33,kmj990929,209,4,13,978,DGIST
34,axdrgn,200,4,13,980,DGIST
35,jonghklee,216,3,13,995,DGIST
36,khw5218,242,3,13,980,DGIST
37,shh0456,113,0,13,1097,DGIST
38,qsewill4569,127,3,13,989,DGIST
39,jun021222,252,2,13,955,DGIST
40,austinlee04,246,3,13,901,DGIST
41,melon0310,137,3,13,935,DGIST
42,smu06117,255,3,13,893,DGIST
43,flugel35,184,4,13,859,DGIST
44,subminu,188,3,12,887,DGIST
45,chobono,145,2,12,853,DGIST
46,springholic13,229,3,12,770,DGIST
47,logg72,118,2,12,855,DGIST
48,wnsk0427,157,1,12,862,DGIST
49,kss20017788,108,4,11,702,DGIST
50,tjsan0122,107,3,11,705,DGIST
51,coding_king,189,2,11,662,DGIST
52,tt613,170,2,10,646,DGIST
53,pyeojim,141,3,10,605,DGIST
54,mintcat98,161,3,10,578,DGIST
55,karerice,196,2,10,614,DGIST
56,bwj9127,163,2,10,620,DGIST
57,hndada,114,3,10,586,DGIST
58,sus9845,125,3,10,578,DGIST
59,dh43,166,2,10,596,DGIST
60,pragma_5501,101,2,10,592,DGIST
61,chekoon777,65,0,10,648,DGIST
62,minlno,68,2,10,561,DGIST
63,tlsdl6942,112,2,9,494,DGIST
64,dhde1004,111,2,9,462,DGIST
65,saychuwho,132,2,9,446,DGIST
66,ixora99,54,0,9,504,DGIST
67,yooshin0303,106,2,9,418,DGIST
68,jhss4475,71,1,9,451,DGIST
69,spaceship559995,111,2,9,401,DGIST
70,tph02361,134,1,9,398,DGIST
71,kong7300,76,1,8,402,DGIST
72,daewoun0355,96,2,8,361,DGIST
73,kanaderu,32,0,8,436,DGIST
74,hanapri,111,1,8,358,DGIST
75,brian020806,89,2,8,332,DGIST
76,danielk5432,53,0,7,358,DGIST
77,cool1030,96,1,7,296,DGIST
78,prkhnyng,69,1,7,301,DGIST
79,julienyu,86,1,7,290,DGIST
80,tnfl4446,81,1,7,283,DGIST
81,kyu3768,103,1,7,267,DGIST
82,wookk456,70,2,7,260,DGIST
